Tract Code,Tract Income Level,Distressed or Under,Tract Median Family Income %,2021 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,2021 Est. Tract Median Family Income,2015 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units,Total Housing Units,Median House Age (Years),Inside Principal City?,Owner Occupied Units,Vacant Units,Owner Occupied 1- to 4- Family Units,Renter Occupied Units
7013.07,Upper,No,131.12,"$129,900 ","$170,325 ","$147,721 ",3997,48.51,1939,1213,1262,1274,22,No,1213,21,1201,40
7013.08,Upper,No,133.44,"$129,900 ","$173,339 ","$150,333 ",3125,37.82,1182,899,929,1047,25,No,899,31,899,117
7013.12,Upper,No,134.99,"$129,900 ","$175,352 ","$152,083 ",6454,34.03,2196,1930,1992,2072,32,No,1930,0,1850,142
7013.13,Upper,No,120.11,"$129,900 ","$156,023 ","$135,313 ",3561,40.1,1428,1066,1176,1207,0,No,1066,21,1066,120
7013.14,Middle,No,104.91,"$129,900 ","$136,278 ","$118,191 ",3202,49.88,1597,936,909,1063,33,No,936,0,843,127
7013.15,Middle,No,118.6,"$129,900 ","$154,061 ","$133,611 ",4744,39.1,1855,1289,1465,1765,22,No,1289,42,1258,434
7013.16,Upper,No,148.26,"$129,900 ","$192,590 ","$167,026 ",6232,34.16,2129,1782,2115,2243,27,No,1782,72,1765,389
7013.17,Upper,No,144.7,"$129,900 ","$187,965 ","$163,021 ",4383,27.7,1214,1321,1404,1413,23,No,1321,11,1321,81
7014.07,Upper,No,133.68,"$129,900 ","$173,650 ","$150,602 ",5856,56.4,3303,1685,1881,1881,35,No,1685,22,1685,174
7014.08,Middle,No,116.98,"$129,900 ","$151,957 ","$131,786 ",6591,48.92,3224,1778,2113,2113,37,No,1778,32,1778,303
7014.09,Upper,No,126.57,"$129,900 ","$164,414 ","$142,596 ",4678,59.77,2796,1299,1399,1399,31,No,1299,30,1299,70
7014.1,Middle,No,98.15,"$129,900 ","$127,497 ","$110,579 ",7987,81.13,6480,2034,2321,2684,29,No,2034,82,1990,568
7014.14,Moderate,No,79.86,"$129,900 ","$103,738 ","$89,977 ",7082,77.08,5459,1595,2142,2639,32,No,1595,194,1595,850
7014.15,Middle,No,97.07,"$129,900 ","$126,094 ","$109,360 ",7647,76.42,5844,2210,2530,2562,43,No,2210,125,2178,227
7014.17,Middle,No,93.97,"$129,900 ","$122,067 ","$105,864 ",5784,83.26,4816,906,1094,2815,26,No,906,137,731,1772
7014.18,Middle,No,92.53,"$129,900 ","$120,196 ","$104,241 ",3459,79.21,2740,927,1132,1155,29,No,927,44,904,184
7014.2,Middle,No,80.29,"$129,900 ","$104,297 ","$90,455 ",6864,54.3,3727,1638,1433,3413,16,No,1638,294,1301,1481
7014.21,Moderate,No,56.75,"$129,900 ","$73,718 ","$63,934 ",2078,95.96,1994,400,394,582,33,No,400,13,326,169
7014.22,Low,No,39.78,"$129,900 ","$51,674 ","$44,821 ",3114,94.61,2946,0,91,1272,37,No,0,126,0,1146
7014.23,Moderate,No,53.87,"$129,900 ","$69,977 ","$60,694 ",4951,89.38,4425,796,1101,1657,32,No,796,121,786,740
7015.03,Middle,No,102.52,"$129,900 ","$133,173 ","$115,500 ",6492,69.02,4481,1985,2047,2224,48,No,1985,70,1985,169
7015.05,Middle,No,92.07,"$129,900 ","$119,599 ","$103,732 ",6688,59.55,3983,1206,1573,2735,53,No,1206,162,1179,1367
7015.06,Middle,No,116.89,"$129,900 ","$151,840 ","$131,688 ",5236,54.97,2878,1508,1794,1807,45,No,1508,23,1495,276
7015.07,Upper,No,120.65,"$129,900 ","$156,724 ","$135,921 ",4687,57.46,2693,1574,1683,1828,33,No,1574,58,1574,196
7015.08,Low,No,46.34,"$129,900 ","$60,196 ","$52,212 ",3774,92.08,3475,318,266,1625,33,No,318,152,204,1155
7015.09,Low,No,41.99,"$129,900 ","$54,545 ","$47,311 ",6285,81.94,5150,509,674,2447,44,No,509,96,509,1842
7016.01,Low,No,41.11,"$129,900 ","$53,402 ","$46,316 ",2386,95.93,2289,53,93,800,47,No,53,7,53,740
7016.02,Low,No,48.52,"$129,900 ","$63,027 ","$54,670 ",7357,92.88,6833,590,777,1771,56,No,590,18,590,1163
7017.01,Upper,No,144.02,"$129,900 ","$187,082 ","$162,250 ",3486,40.71,1419,770,919,1503,69,No,770,63,690,670
7017.02,Moderate,No,55.2,"$129,900 ","$71,705 ","$62,188 ",2547,71.26,1815,226,331,1010,63,No,226,76,160,708
7017.03,Moderate,No,73.97,"$129,900 ","$96,087 ","$83,333 ",3656,65.1,2380,703,795,1338,61,No,703,120,580,515
7017.04,Middle,No,113.32,"$129,900 ","$147,203 ","$127,667 ",2896,46.44,1345,737,917,1111,66,No,737,29,737,345
7018,Middle,No,97.08,"$129,900 ","$126,107 ","$109,375 ",4928,52.41,2583,980,984,1924,63,No,980,85,896,859
7019,Unknown,No,0,"$129,900 ",$0 ,$0 ,3238,70.69,2289,292,687,1316,66,No,292,73,292,951
7020,Low,No,44.49,"$129,900 ","$57,793 ","$50,123 ",5740,90.78,5211,547,847,1559,55,No,547,48,547,964
7021.01,Low,No,48.4,"$129,900 ","$62,872 ","$54,531 ",6034,89.86,5422,714,935,1829,47,No,714,113,645,1002
7021.02,Upper,No,155.4,"$129,900 ","$201,865 ","$175,069 ",3152,16.72,527,1007,1115,1115,69,No,1007,30,1007,78
7022,Upper,No,120.94,"$129,900 ","$157,101 ","$136,250 ",4715,44.81,2113,1313,1527,1556,68,No,1313,10,1308,233
7023.01,Low,No,39.98,"$129,900 ","$51,934 ","$45,046 ",3710,80,2968,442,469,1482,59,No,442,110,289,930
7023.02,Middle,No,92.57,"$129,900 ","$120,248 ","$104,286 ",4073,55.44,2258,994,913,1655,62,No,994,64,774,597
7024.01,Upper,No,134.7,"$129,900 ","$174,975 ","$151,750 ",2602,37.66,980,784,878,1003,70,No,784,49,765,170
